#separator:Semicolon
#html:false
#deck column:3
#columns:Front;Back;Deck
maïs;der Mais;nourriture (végétal)
carotte;die Möhre-n, die Karotte-n;nourriture (végétal)
céréale;das Getreide-;nourriture (végétal)
cueillir;pflücken;nourriture (végétal)
pate à tartiner, paté;der Brotaufstrich-e;nourriture (végétal)
gauffre;die Waffel-n;nourriture (végétal)
raisin, grappe;die Traube-n;nourriture (végétal)
sucre;der Zucker-;nourriture (végétal)
noyau (de fruit);der Kern-e;nourriture (végétal)
noix (noyer);die Walnuss-″e;nourriture (végétal)
noisette;die Haselnuss-″e;nourriture (végétal)
cacahuète;die Erdnuss-″e;nourriture (végétal)
noix de cajou;die Cashewnuss-″e;nourriture (végétal)
noix de macadamia;die Macadamianuss-″e;nourriture (végétal)
noix du brésil;die Paranuss-″e;nourriture (végétal)
herbe (cuisine);das Gewürzkraut-″er;nourriture (végétal)
épice, condiment;das Gewürz-e;nourriture (végétal)
beurre de cacahuète;die Erdnussbutter;nourriture (végétal)
pain;das Brot-e;nourriture (végétal)
miette;der Krümel-;nourriture (végétal)
bière;das Bier-e;nourriture (végétal)
vin;der Wein-e;nourriture (végétal)
alcool (substance);der Alkohol-e;nourriture (végétal)
vinaigre;der Essig-e;nourriture (végétal)
levure chimique;das Backpulver-;nourriture (végétal)
levure (organique);die Hefe-n;nourriture (végétal)
pâte (nouilles);die Nudel-n;nourriture (végétal)
ingrédient;die Zutat-en;nourriture (végétal)
bretzel;die Laugenbrezel-n, die Bretzel-n;nourriture (végétal)
vitamine;das Vitamin-e;nourriture (végétal)
protéine;das Eiweiß-e;nourriture (végétal)
graisse;das Fett-e;nourriture (végétal)
gras;fett;nourriture (végétal)
glucide;das Kohlenhydrat-e;nourriture (végétal)
mineraux (alimentation);der Mineralstoff-e;nourriture (végétal)
poudre;das Pulver-;nourriture (végétal)
purée de pommes de terre;der Kartoffelbrei-e;nourriture (végétal)
graine de tournesol;der Sonnenblumenkern-e;nourriture (végétal)
graine de courge;der Kürbiskern-e;nourriture (végétal)
lin;der Lein-e;nourriture (végétal)
crêpe, pancake;der Pfannkuchen-;nourriture (végétal)
gâteau, tarte;der Kuchen-;nourriture (végétal)
spätzle;das Spätzle-;nourriture (végétal)
spaghetti;die Spaghetti-s;nourriture (végétal)
pizza;die Pizza-s;nourriture (végétal)
avocat (aguacatl);die Avocado-s;nourriture (végétal)
lasagne;die Lasagne-n;nourriture (végétal)
brocoli;der Brokkoli-;nourriture (végétal)
artichaut;die Artischocke-n;nourriture (végétal)
chou-fleur;der Blumenkohl-e;nourriture (végétal)
chou blanc;der Weißkohl-e;nourriture (végétal)
chou;der Kohl-e;nourriture (végétal)
chou rouge;der Rotkohl-e;nourriture (végétal)
chocolat;die Schokolade-n;nourriture (végétal)
vanille;die Vanille;nourriture (végétal)
cacao;der Kakao-s;nourriture (végétal)
pomme;der Apfel-″;nourriture (végétal)
cerise;die Kirsche-n;nourriture (végétal)
poire;die Birne-n;nourriture (végétal)
banane;die Banane-n;nourriture (végétal)
apricot;die Aprikose-n;nourriture (végétal)
pêche;der Pfirsich-e;nourriture (végétal)
figue;die Feige-n;nourriture (végétal)
datte;die Dattel-n;nourriture (végétal)
orange (fruit);die Orange-n;nourriture (végétal)
mandarine;die Mandarine-n;nourriture (végétal)
citron;die Zitrone-n;nourriture (végétal)
clémentine;die Clementine-n;nourriture (végétal)
melon;die Melone-n;nourriture (végétal)
pamplemousse;die Pampelmuse-n;nourriture (végétal)
pastèque;die Wassermelone-n;nourriture (végétal)
courge, citrouille;der Kürbis-se;nourriture (végétal)
courgette;die Zucchini-en;nourriture (végétal)
aubergine;die Aubergine-n;nourriture (végétal)
tomate;die Tomate-n;nourriture (végétal)
concombre;die Gurke-n;nourriture (végétal)
cornichon;die Gurke-n;nourriture (végétal)
sauce;die Sauce-n, die Soße-n;nourriture (végétal)
épinard;der Spinat-e;nourriture (végétal)
salade;der Salat-e;nourriture (végétal)
laitue;der Lattich-e;nourriture (végétal)
aliment transformé;das verarbeitete-- Lebensmittel-;nourriture (végétal)
aliment;die Kost;nourriture (végétal)
mâche (salade);der Feldsalat-e;nourriture (végétal)
poireau;der Lauch-e, der Porree-s;nourriture (végétal)
oignon;die Zwiebel-n;nourriture (végétal)
ail;der Knoblauch;nourriture (végétal)
céléri rave;der Kohlrabi-s;nourriture (végétal)
choux de Bruxelles;der Rosenkohl;nourriture (végétal)
choux chinois;der Chinakohl-e;nourriture (végétal)
chou frisé (kale);der Grünkohl-e;nourriture (végétal)
prune;die Zwetschge-n, die Pflaume-n;nourriture (végétal)
lentille (légume);die Linse-n;nourriture (végétal)
lentille rouge;die rote-- Linse-n;nourriture (végétal)
haricot (graine);die Bohne-n;nourriture (végétal)
riz;der Reis-e;nourriture (végétal)
mangue;die Mango-s;nourriture (végétal)
pois chiche;die Kichererbse-n;nourriture (végétal)
croûte (pain);die Kruste-n;nourriture (végétal)
fromage;der Käse-;nourriture (végétal)
croissant;das Croissant-s;nourriture (végétal)
franzbrötchen;das Franzbrötchen-;nourriture (végétal)
barre (de chocolat);der Riegel-;nourriture (végétal)
jus (de fruit);der Saft-″e;nourriture (végétal)
thym;der Thymian-e;nourriture (végétal)
jus d’orange;der Orangensaft-″e;nourriture (végétal)
jus de pomme;der Apfelsaft-″e;nourriture (végétal)
romarin;der Rosmarin;nourriture (végétal)
sauge;der Salbei-e;nourriture (végétal)
basilic;das Basilikum-/en;nourriture (végétal)
origan;der Oregano;nourriture (végétal)
marjolaine;der Majoran-e;nourriture (végétal)
curcuma;die Kurkuma-/en;nourriture (végétal)
asefétide;der Asant-e;nourriture (végétal)
fenouil;der Fenchel-;nourriture (végétal)
poivron;die Paprika-(s);nourriture (végétal)
piment;der Chili-s;nourriture (végétal)
noix de coco;die Kokosnuss-″e;nourriture (végétal)
paprika;der Paprika-(s);nourriture (végétal)
fraise;die Erdbeere-n;nourriture (végétal)
framboise;die Himbeere-n;nourriture (végétal)
myrtille;die Blaubeere-n, die Heidelbeere-n;nourriture (végétal)
mûre (fruit);die Brombeere-n;nourriture (végétal)
cranberry;die Cranberry-s;nourriture (végétal)
groseille;die Johannisbeere-n;nourriture (végétal)
cassis;die schwarze-- Johannisbeere-n;nourriture (végétal)
persil;die Petersilie-n;nourriture (végétal)
céléri;der Sellerie-s, die Sellerie-n;nourriture (végétal)
eau;das Wasser-;nourriture (végétal)
boite de conserve;die Dose-n;nourriture (végétal)
frais;frisch;nourriture (végétal)
cuit;gekocht;nourriture (végétal)
décongeler;auf-tauen;nourriture (végétal)
petit pois;die Erbse-n;nourriture (végétal)
sésame;der Sesam;nourriture (végétal)
tahini;die Tahina;nourriture (végétal)
tofu;der Tofu;nourriture (végétal)
tempeh;das Tempeh;nourriture (végétal)
menthe;die Minze-n;nourriture (végétal)
thé (herbal);der Tee-s;nourriture (végétal)
thé (noir);der Schwarztee-s;nourriture (végétal)
pavot;der Mohn-e;nourriture (végétal)
fleur;die Blume-n;plantes & champignons
fleurir;blühen;plantes & champignons
tronc;der Stamm-″e;plantes & champignons
pollen;der Blütenstaub-″e;plantes & champignons
feuille (plante);das Blatt-″er;plantes & champignons
racine (plante);die Wurzel-n;plantes & champignons
fougère;der Farn-e;plantes & champignons
champignon;der Pilz-e;plantes & champignons
lierre;der Efeu;plantes & champignons
vigne;die Weinrebe-n;plantes & champignons
vignoble;der Weinberg-e, der Weingarten-″;plantes & champignons
herbe (plante graminée);das Gras-″er;plantes & champignons
pétale;das Blütenblatt-″er;plantes & champignons
cactus;der Kaktus-/een;plantes & champignons
rose (fleur);die Rose-n;plantes & champignons
jonquille;die Narzisse-n;plantes & champignons
paquerette;das Gänseblümchen-;plantes & champignons
pissenlit;der Löwenzahn-″e;plantes & champignons
buisson;der Busch-″e, der Strauch-″er;plantes & champignons
épine;der Dorn-″er;plantes & champignons
écorce;die Rinde-n;plantes & champignons
ronce;der Brombeerstrauch-″er;plantes & champignons
herbe (plante aromatique);das Kraut-″er;plantes & champignons
ortie;die Brennnessel-n;plantes & champignons
sapin (Abies);die Tanne-n;plantes & champignons
pin (Pinus, Strobus, longues aiguilles);die Kiefer-n;plantes & champignons
conifère;der Nadelbaum-″e;plantes & champignons
épine de conifère;die Nadel-n;plantes & champignons
figuier;der Feigenbaum-″e;plantes & champignons
palmier;die Palme-n;plantes & champignons
algue;die Alge-n;plantes & champignons
mousse (plante);das Moos-e;plantes & champignons
lichen;die Flechte-n;plantes & champignons
moisissure;der Schimmel;plantes & champignons
plante;die Pflanze-n;plantes & champignons
arbre;der Baum-″e;plantes & champignons
forêt;der Wald-″er;plantes & champignons
animal;das Tier-e;animaux
espèce (bio.);die Spezies-;animaux
dauphin (cétacé);der Delfin-e;animaux
phoque;der Seehund-e;animaux
hérisson;der Igel-;animaux
oursin;der Seeigel-;animaux
étoile de mer;der Seestern-e;animaux
papillon;der Schmetterling-e;animaux
mite, papillon de nuit;die Motte-n;animaux
mouette;die Möwe-n;animaux
chenille (animal);die Raupe-n;animaux
baleine (animal);der Wal-e;animaux
abeille;die Biene-n;animaux
guêpe;die Wespe-n;animaux
tortue;die Schildkröte-n;animaux
hippocampe;das Seepferdchen-;animaux
fourmi;die Ameise-n;animaux
éponge (animal);der Schwamm-″e;animaux
oie;die Gans-″e;animaux
chouette, hibou;die Eule-n;animaux
araignée;die Spinne-n;animaux
aile;der Flügel-;animaux
plume;die Feder-n;animaux
aboyer;bellen;animaux
corne (animal);das Horn-″er;animaux
bec;der Schnabel-″;animaux
loup;der Wolf-″e;animaux
moustique;die Mücke-n;animaux
mouche;die Fliege-n;animaux
voler (se déplacer dans les airs);fliegen (o-o);animaux
termite;die Termite-n;animaux
millepatte;der Tausendfüßler-;animaux
patte;das Bein-e;animaux
scorpion;der Skorpion-e;animaux
insecte;das Insekt-en;animaux
mollusque;die Molluske-n;animaux
manger (pour les animaux);fressen (i-a-e);animaux
mamifère;das Säugetier-e;animaux
reptile;das Reptil-ien;animaux
vertébré;das Wirbeltier-e;animaux
escargot;die Schnecke-n;animaux
lapin;das Kaninchen-;animaux
limace;die Nacktschnecke-n;animaux
pigeon;die Taube-n;animaux
rat;die Ratte-n;animaux
souris;die Maus-″e;animaux
écureuil;das Eichhörnchen-;animaux
poisson;der Fisch-e;animaux
requin;der Hai-e;animaux
raie;der Rochen-;animaux
ours;der Bär-en;animaux
lion;der Löwe-n;animaux
chien;der Hund-e;animaux
corneille;die Krähe-n;animaux
chat;die Katze-n;animaux
tigre;der Tiger-;animaux
panthère;der Panther-;animaux
girafe;die Giraffe-n;animaux
éléphant;der Elefant-en;animaux
rhinocéros;das Nashorn-″er;animaux
hippopotame;das Flusspferd-e;animaux
grenouille;der Frosch-″e;animaux
crapeau;die Kröte-n;animaux
corbeau;der Rabe-n;animaux
oiseau;der Vogel-″;animaux
pie (oiseau);die Elster-n;animaux
moineau;der Sperling-e, der Spatz-en;animaux
poulet;das Huhn-″er;animaux
cigogne;der Storch-″e;animaux
chèvre;die Ziege-n;animaux
mouton;das Schaf-e;animaux
vache;die Kuh-″e;animaux
bovin;das Rind-er;animaux
taureau;der Bulle-n;animaux
troupeau;die Herde-n;animaux
cochon;das Schwein-e;animaux
canard;die Ente-n;animaux
crabe;der Krebs-e;animaux
cocquillage, bivavle;die Muschel-n;animaux
huitre;die Auster-n;animaux
méduse;die Qualle-n;animaux
dinosaure;der Dinosaurier-;animaux
lézard;die Eidechse-n;animaux
crocodile;das Krokodil-e;animaux
alligator;der Alligator-en;animaux
serpent;die Schlange-n;animaux
ammonite;der Ammonit-en;animaux
fossile;das Fossil-ien;animaux
trilobite;der Trilobit-en;animaux
aigle;der Adler-;animaux
cygne;der Schwan-″e;animaux
grogner;brummen;animaux
chasser;jagen;animaux
pêcher;fischen;animaux
kangourou;das Känguru-s;animaux
jaguar;der Jaguar-e;animaux
lynx;der Luchs-e;animaux
blaireau;der Dachs-e;animaux
cerf;der Hirsch-e;animaux
chevreuil;das Reh-e;animaux
renard;der Fuchs-″e;animaux
ver de terre;der Wurm-″er;animaux
cheval;das Pferd-e;animaux
poney;das Pony-s;animaux
âne;der Esel-;animaux
buffle;der Büffel-;animaux
fer;das Eisen-;matériaux, chimie
rouille;der Rost;matériaux, chimie
rouiller;rosten;matériaux, chimie
acier;der Stahl-″e;matériaux, chimie
élément (catégorie chimique);das Element-e;matériaux, chimie
argent (métal);das Silber;matériaux, chimie
craie, calcite (matériau);der Kalk-e;matériaux, chimie
or;das Gold;matériaux, chimie
cuivre;das Kupfer;matériaux, chimie
carbone (C);der Kohlenstoff;matériaux, chimie
aluminium;das Aluminium;matériaux, chimie
oxygène;der Sauerstoff;matériaux, chimie
azote;der Stickstoff;matériaux, chimie
hydrogène;der Wasserstoff-e;matériaux, chimie
acide (substance);die Säure-n;matériaux, chimie
officiel;offiziel;administration
nécessiter, requérir;benötigen (+A);administration
valide, valable;gültig;administration
permettre, autoriser;erlauben;administration
signer;unterschreiben (ie-ie);administration
accepter, reconnaître, approuver;an-erkennen (a-a);administration
demande, requête;der Antrag-″e;administration
demander, faire une requête (pour faire quelquechose);auf-fordern;administration
résidence (adm.);der Aufenthalt-e;administration
étranger (nom);der Ausländer-, die Ausländerin-nen;administration
fonctionnaire;der Beamter--, die Beamte--;administration
confirmer, prouver;bestätigen;administration
autorité (gouv.);die Behörde-n;administration
assurance (contrat de garantie);die Versicherung-en;administration
formulaire;das Formular-e;administration
compte (utilisateur, bancaire);das Konto-/en;administration
permis;die Genehmigung-en;administration
visa;das Visum-/a;administration
compétence, validité;die Zuständigkeit-en;administration
remplir (un formulaire);aus-füllen;administration
bienvenu;willkommen;rencontres
(se) présenter (quelqu'un ou soi-même);(sich) vor-stellen;rencontres
dire bonjour;sich begrüßen;rencontres
bise, bisou;der Kuss-″e;rencontres
faire la bise/un ou des bisou(s), embrasser;küssen;rencontres
ami;der Freund-e, die Freundin-nen;rencontres
accompagner;begleiten (+A);rencontres
dire aurevoir;sich verabschieden;rencontres
à plutard;bis später;rencontres
à bientôt;bis bald;rencontres
manifestation, évènement, cérémonie;die Veranstaltung-en;rencontres
bye;tschüss;rencontres
je suis désolé;es tut mir leid;rencontres
rendez-vous;der Termin-e;rencontres
arranger (un rendez-vous);vereinbaren, aus-machen;rencontres
se rencontrer (quelqu'un connu);treffen (sich) (i-a-o);rencontres
offrir, donner;verschenken;rencontres
se rencontrer (suivant un rdv);sich treffen (mit) (i-a-o);rencontres
rencontrer par hasard;begegnen (+D);rencontres
inviter;ein-laden (ä-u-a);rencontres
annuler (rdv);ab-sagen;rencontres
rater (rdv);verpassen;rencontres
il me tarde;ich freue mich (auf+A);rencontres
s’appeler;heißen (ie-ei);rencontres
nécessiter;bedürfen (+G);désirs, besoins
volontaire (adj.);freiwillig;désirs, besoins
avoir besoin de;brauchen (+A);désirs, besoins
compréhension (=empathie);das Verständnis-se;désirs, besoins
constater la perte;vermissen;désirs, besoins
déplorer l'absence;vermissen;désirs, besoins
remercier;danken (+D, für);désirs, besoins
offrir (intrinsèquement);bieten (o-o);désirs, besoins
être reconnaissant;sich bedanken;désirs, besoins
récompenser;belohnen (für);désirs, besoins
féliciter;gratulieren (+D, zu);désirs, besoins
satisfaire;befriedigen (+A);désirs, besoins
désirer, demander (s'attendre à);verlangen;désirs, besoins
souhaiter, désirer;wünschen;désirs, besoins
supporter, endurer;ertragen (ä-u-a);désirs, besoins
supporter, faire avec;vertragen (ä-u-a);désirs, besoins
en valoir la peine;sich lohnen;désirs, besoins
valoir la peine de;lohnen;désirs, besoins
opportunité;die Gelengenheit-en;désirs, besoins
coincidence;der Zufall-″e;désirs, besoins
chance;das Glück;désirs, besoins
chance;die Chance;désirs, besoins
profiter;profitieren;désirs, besoins
soutenir, assister;unterstützen;désirs, besoins
aider;helfen (+D, bei) (i-a-o);désirs, besoins
suffire;reichen;désirs, besoins
avantageux;günstig;désirs, besoins
déranger, perturber;stören;désirs, besoins
sauver;retten;désirs, besoins
en espérant que (adv.);hoffentlich;désirs, besoins
finir, terminer (une tâche, un produit);erledigen;persévérer, découvrir
gêner, entraver;behindern;persévérer, découvrir
survivre;überleben;persévérer, découvrir
fuir;fliehen (o-o);persévérer, découvrir
entreprendre (tâche);unternehmen (im-ah-om);persévérer, découvrir
réussir;gelingen (a-u) (sujet/objet inversés);persévérer, découvrir
rater, ne pas réussir;misslingen (a-u) (sujet/objet inversés);persévérer, découvrir
victoire;der Sieg-e;persévérer, découvrir
qui a beaucoup de succès (adj.);erfolgreich;persévérer, découvrir
succès, réussite;der Erfolg-e;persévérer, découvrir
faillir, échouer;versagen;persévérer, découvrir
capable, apte;fähig;persévérer, découvrir
persévérer;beharren (bei);persévérer, découvrir
ennuyeux (intérêt);langweilig;persévérer, découvrir
courage;der Mut;persévérer, découvrir
se tromper;(sich) irren;persévérer, découvrir
erreur;der Fehler-;persévérer, découvrir
regretter;bedauern;persévérer, découvrir
difficile;schwierig;persévérer, découvrir
facile;einfach;persévérer, découvrir
simple;einfach;persévérer, découvrir
curieux (désirant connaître);neugierig;persévérer, découvrir
essayer;versuchen;persévérer, découvrir
essayer, tester (utiliser);aus-probieren;persévérer, découvrir
essayer, tester (est-ce possible?), goûter;probieren;persévérer, découvrir
tentative;der Versuch-e;persévérer, découvrir
terminer, finir;beenden;persévérer, découvrir
résoudre;lösen;persévérer, découvrir
chercher;suchen;persévérer, découvrir
améliorer;verbessern;persévérer, découvrir
inventer;erfinden (a-u);persévérer, découvrir
trouver;finden (a-u);persévérer, découvrir
masquer;maskieren;persévérer, découvrir
cacher, être caché;verdecken;persévérer, découvrir
cacher (pour ne pas être trouvé);verstecken;persévérer, découvrir
se cacher (pour ne pas être trouvé);sich verstecken (vor);persévérer, découvrir
découvrir;entdecken;persévérer, découvrir
but, objectif;das Ziel-e;persévérer, découvrir
but, dessein;der Zweck-e;persévérer, découvrir
secret (adj.);geheim;persévérer, découvrir
secret, mystère;das Geheimnis-se;persévérer, découvrir
danger, risque (possibilité de dammage);die Gefahr-en;persévérer, découvrir
dangereux;gefährlich;persévérer, découvrir
pénurie, manque;der Mangel-″;persévérer, découvrir
attention!;Vorsicht!, Achtung!;persévérer, découvrir
risque (possibilité de conséquences négatives);das Risiko-s;persévérer, découvrir
responsable (adj.);verantwortlich (für);autorité, confiance
fiable, digne de confiance;zuverlässig;autorité, confiance
prendre charge, assumer;übernehmen (im-ah-om);autorité, confiance
en règle;in Ordnung;autorité, confiance
célèbre;berühmt;autorité, confiance
mener;führen;autorité, confiance
guider;führen;autorité, confiance
influencer, avoir des répercussions;beeinflussen;autorité, confiance
servir;dienen (+D), bedienen;autorité, confiance
règle (principe);die Regel-n;autorité, confiance
ordonner (donner un ordre);befehlen (ie-a-o);autorité, confiance
laisser faire, autoriser;zu-lassen (ä-ie-a);autorité, confiance
gérer, traiter d'une certaine façon;um-gehen (ing-ang);autorité, confiance
controller;steuern;autorité, confiance
confier (objet);an-vertrauen (+A, +D);autorité, confiance
insérer;ein-fügen;placer
contenu;der Inhalt-e;placer
ordonner, arranger, organiser;an-ordnen;placer
occuper;besetzen;placer
enlever;entfernen;placer
supprimer;auf-lösen;placer
contribuer;bei-tragen (ä-u-a);placer
copier (faire une copie);kopieren;placer
sauvegarder (ordi);speichern;placer
collecter, rassembler;sammeln;placer
garder (retenir);behalten (ä-ie-a);placer
assembler;montieren;placer
poser;setzen, stellen, legen;placer
changer, échanger;wechseln (von+D, auf+A);placer
échanger (permuter, contre quelquechose);tauschen;placer
partager, diviser;teilen;placer
séparer;trennen;placer
occupé (en parlant d'un lieu);besetzt;placer
remplir;füllen;placer
vider;leeren;placer
vider, sortir des choses;aus-räumen;placer
insérer, planter;stecken;placer
pile, empilement;der Stapel-;placer
charger;laden (ä-u-a);placer
apporter;bringen (ach-ach);placer
apporter, amener avec soi;mit-bringen (ach-ach);placer
disponible;verfügbar;placer
à la place;stattdessen;placer
trier, organiser;sortieren;placer
copier (imiter);nach-machen;placer
sachet;die Tüte-n;placer
poche, sacoche;die Tasche-n;placer
sachet, bourse;der Beutel-;placer
sac;der Sack-″e;placer
omettre;aus-lassen (ä-ie-a);placer
réparer;reparieren;utiliser
utiliser;benutzen (+A, zu), verwenden (+A, zu);utiliser
faire usage;Gebrauch machen (von);utiliser
fonctionner;funktionieren;utiliser
éviter (évènement ou action);vermeiden (ie-ie);utiliser
empêcher (un évènement);verhindern;utiliser
arrêter (de faire qqchose);auf-hören;utiliser
machine;die Maschine-n;utiliser
se servir (opérer);bedienen;utiliser
pratique;praktisch;utiliser
commode, confortable;bequem;utiliser
utile;nützlich;utiliser
être en marche;laufen (äu-ie-au);utiliser
science (approche méthodique et rigoureuse du savoir);die Wissenschaft-en;
science naturelle;die Naturwissenschaft-en;
recherche scientifique;die Forschung-en;
conductivité (électrique, etc.);die Leitfähigkeit-en;
astronomie;die Astronomie;
thermique;thermisch;
système;das System-e;
trajectoire;die Bahn-en;
potentiel (duquel dérive une forme d'énergie);das Potential-e;
méthode;die Methode-n;
fusée, roquette;die Rakete-n;
mathématiques (science);die Mathematik;
particule (science);das Teilchen-;
gaz;das Gas-e;
atome;das Atom-e;
molécule;das Molekül-e;
elastique (adj.);elastisch;
statistique (adj.);statistisch;
statistique (discipline);die Statistik-en;
équilibre (mécanique);das Gleichgewicht-e;
démontrer, prouver, détecter (prouver l'existence);nach-weisen (ie-ie);
cristal (physique, minéraux);der Kristall-e;
rigide, indéformable;starr;
solide indéformable;der starre- Körper-;
vitesse angulaire;die Rotationsgeschwindigkeit-en;
densité, masse volumique;die Dichte-n;
lunette, téléscope;das Fernrohr-e;
calculer;berechnen;
déterminer;bestimmen;
être vivant (créature);das Lebewesen-;
rayonnement;die Strahlung-en;
rayon gamma;der Gammastrahl-en;
rayon X;der Röntgenstrahl-en;
ultraviolet;ultraviolett;
lumière visible;das sichtbare- Licht-er;
infrarouge;infrarot;
microonde (rayonnement);die Mikrowelle-n;
onde radio;die Radiowelle-n;
charge (électrique);die Ladung-en;
mécanique (discipline physique);die Mechanik;
stationnaire;stationär;
diffraction;die Beugung-en;
équation des ondes;die Wellengleichung-en;
La vibration de la corde est décrite par le déplacement $\varphi(x,t)$ par rapport à la position d'équilibre en fonction de la position et du temps;"die Schwingung der Saite wird beschrieben durch die Auslenkung $\varphi(x,t)$ aus der Gleichgewichtslage als Funktion des Ortes und der Zeit""";
exercer, appliquer (une force);wirken (auf+A);
un corps n'est accéléré que lorsqu'une force lui est appliquée;ein Körper wird nur beschleudigt, wenn eine Kraft auf ihn wirkt;
amplitude (phy.);die Amplitude-n;
probabilité de présence;die Aufenthaltswahrscheinlichkeit-en;
moment cinétique;der Drehimpuls-e;
fréquence;die Frequenz-en;
quantité de mouvement;der Impuls-e;
oscillateur harmonique;der harmonische-- Oszillator-en;
énergie potentielle;die potentielle-- Energie-n;
potentiel (adj.);potentiell, potenziell;
désintégration (particules);der Zerfall-″e;
courbure (géométrique);die Krümmung;math
axe;die Achse-n;math
équidistant;äquidistant;math
résoudre l'équation en utilisant les coordonnées polaires;die Gleichung in Polarkoordinaten lösen;math
dériver (une fonction);ab-leiten (nach?);math
une dérivée du premier ordre par rapport au temps;eine Ableitung erster Ordnung nach der Zeit;math
fonction;die Funktion-en;math
distribution, répartition;die Verteilung-en;math
fonction constante;die stetige-- Funktion-en;math
coordonnée (d'un vecteur);die Koordinate-n;math
coordonnée polaire;die Polarkoordinate-n;math
opérateur (mathématique);der Operator-en;math
ellipse;die Ellipse-n;math
hyperbole;die Hyperbel-n;math
parabole;die Parabel-n;math
formule (mathématique);die Formel-n;math
équation;die Gleichung-en;math
infini (adj.);unendlich;math
infini, infinité;die Unendlichkeit-en;math
théorème;der Satz-″e;math
série (somme);die Reihe-n;math
série entière;die Potenzreihe-n;math
numérateur;der Zähler-;math
dénominateur;der Nenner-;math
division (arithmétique);die Division-en;math
produit (arithmétique);das Produkt-e;math
puissance (arithmétique);die Potenz-en;math
décalage, perturbation;die Verrückung-en;math
quadratique, carré (adj.);quadratisch;math
racine (arithmétique);die Wurzel-n;math
normer (math.);normieren;math
module, norme;der Betrag-″e;math
vecteur;der Vektor-en;math
matrice;die Matrix-/zen;math
somme, total;die Summe-n;math
parallèle;parallel (zu);math
perpendiculaire;rechtwinklig, senkrecht (zu);math
angle;der Winkel-;math
intégrale (math.);das Integral-e;math
dérivée (math.);das Differential-e;math
dénombrable;abzählbar;math
nombre (quantité);die Anzahl-en;math
infinité dénombrable (quantité);die abzählbar unendliche-- Anzahl-en;math
infini dénombrable (en quantité infinie dénombrable);abzählbar unendlich viele;math
équation différentielle;die Differentialgleichung-en;math
sur, divisé par (fraction);durch;math
factorielle;die Fakultät-en;math
n factorielle;n Fakultät;math
a exposant b;a hoch b;math
partie imaginaire;der Imaginärteil-e;math
partie réelle;der Realteil-e;math
élément (d'un ensemble);das Element-e;math
x appartient à M;x ist Element von M;math
2 plus 2 est égal à 4;zwei plus zwei ist gleich vier;math
intervalle (ensemble mathématique);das Intervall-e;math
intervalle fermé;das abgeschlossene-- Intervall-e;math
intervalle ouvert;das offene-- Intervall-e;math
cardinalité;die Kardinalität-en;math
imaginaire;imaginär;math
réel (des nombres réels);reell;math
complexe (des nombres complexes);komplex;math
fois (multiplié);mal;math
3 fois 3 font 9;drei mal drei ist neun;math
ensemble (collection mathématique);die Menge-n;math
strictement négatif;negativ;math
positif;nichtnegativ;math
strictement positif;positiv;math
équation aux dérivées partielles;die partielle-- Differentialgleichung-en;math
carré (puissance 2);Quadrat, zum Quadrat, hoch zwei;math
différent (mathématique);ungleich;math
f(x), f de x;f von x;math
racine (carrée) de x;die Wurzel aus x;math
racine n-ième de x;die n-te Wurzel aus x;math
probabilité;die Wahrscheinlichkeit-en;math
densité de probabilité;die Wahrscheinlichkeitsdichte-n;math
chaque état ne peut être occupé qu'une seule fois;jeder Zustand kann nur einfach besetzt sein;math
rude, vulgaire;derb;vulagrités
foutre (baiser), aller se faire foutre;ficken 🤬;vulagrités
merde;die Kacke 🤬, die Scheiße 🤬;vulagrités
chier;kacken 🤬;vulagrités
gerber, dégueuler;kotzen 🤬;vulagrités
pisser;pissen 🤬;vulagrités
chier;scheißen (i-i) 🤬;vulagrités
